,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Never Grow Up (Taylor's Version),0.685,0.323,2,-7.103,1,0.0289,0.851,0.0,0.198,0.569,125.058,audio_features,2EFZ9emtKWEglWUQGEQ3P9,spotify:track:2EFZ9emtKWEglWUQGEQ3P9,https://api.spotify.com/v1/tracks/2EFZ9emtKWEglWUQGEQ3P9,https://api.spotify.com/v1/audio-analysis/2EFZ9emtKWEglWUQGEQ3P9,292920,4
Enchanted (Taylor's Version),0.505,0.532,8,-3.526,1,0.0265,0.012,0.0,0.149,0.216,81.907,audio_features,3sW3oSbzsfecv9XoUdGs7h,spotify:track:3sW3oSbzsfecv9XoUdGs7h,https://api.spotify.com/v1/tracks/3sW3oSbzsfecv9XoUdGs7h,https://api.spotify.com/v1/audio-analysis/3sW3oSbzsfecv9XoUdGs7h,353253,4
Better Than Revenge (Taylor's Version),0.496,0.885,11,-2.969,0,0.0803,0.000886,0.0,0.191,0.665,145.863,audio_features,0NwGC0v03ysCYINtg6ns58,spotify:track:0NwGC0v03ysCYINtg6ns58,https://api.spotify.com/v1/tracks/0NwGC0v03ysCYINtg6ns58,https://api.spotify.com/v1/audio-analysis/0NwGC0v03ysCYINtg6ns58,220307,4
Innocent (Taylor's Version),0.522,0.598,1,-5.327,0,0.0284,0.101,0.0,0.152,0.149,133.627,audio_features,12nBPF4Rh4XLFJV0YLN7uj,spotify:track:12nBPF4Rh4XLFJV0YLN7uj,https://api.spotify.com/v1/tracks/12nBPF4Rh4XLFJV0YLN7uj,https://api.spotify.com/v1/audio-analysis/12nBPF4Rh4XLFJV0YLN7uj,301222,4
Haunted (Taylor's Version),0.427,0.915,5,-1.909,1,0.0619,0.00667,0.0,0.221,0.355,162.201,audio_features,4tMzIAFTFdqGBQLdfbPces,spotify:track:4tMzIAFTFdqGBQLdfbPces,https://api.spotify.com/v1/tracks/4tMzIAFTFdqGBQLdfbPces,https://api.spotify.com/v1/audio-analysis/4tMzIAFTFdqGBQLdfbPces,245413,4
Last Kiss (Taylor's Version),0.55,0.366,10,-8.46,1,0.0276,0.447,4.43e-06,0.101,0.16,79.401,audio_features,59KOoHFcw5XfICnO57holu,spotify:track:59KOoHFcw5XfICnO57holu,https://api.spotify.com/v1/tracks/59KOoHFcw5XfICnO57holu,https://api.spotify.com/v1/audio-analysis/59KOoHFcw5XfICnO57holu,369120,3
Long Live (Taylor's Version),0.375,0.65,0,-4.031,1,0.0402,0.0122,0.0,0.189,0.0752,203.89,audio_features,4hqJ4bSlYJOXb6Z4SRmzxs,spotify:track:4hqJ4bSlYJOXb6Z4SRmzxs,https://api.spotify.com/v1/tracks/4hqJ4bSlYJOXb6Z4SRmzxs,https://api.spotify.com/v1/audio-analysis/4hqJ4bSlYJOXb6Z4SRmzxs,317960,4
Ours (Taylor’s Version),0.535,0.488,0,-8.261,1,0.0278,0.449,0.0,0.111,0.348,159.813,audio_features,3yNJkriPzWjkkDAWHIAVUq,spotify:track:3yNJkriPzWjkkDAWHIAVUq,https://api.spotify.com/v1/tracks/3yNJkriPzWjkkDAWHIAVUq,https://api.spotify.com/v1/audio-analysis/3yNJkriPzWjkkDAWHIAVUq,235803,4
Superman (Taylor’s Version),0.533,0.742,7,-3.473,1,0.0303,0.0031,0.0,0.108,0.356,131.93,audio_features,4evLyY5Ue1Wesc61t2KXAU,spotify:track:4evLyY5Ue1Wesc61t2KXAU,https://api.spotify.com/v1/tracks/4evLyY5Ue1Wesc61t2KXAU,https://api.spotify.com/v1/audio-analysis/4evLyY5Ue1Wesc61t2KXAU,274945,4
Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),0.547,0.855,7,-4.7,1,0.0597,0.0164,0.0,0.144,0.282,131.073,audio_features,4e3ZNTAV6PCrdYMUrUlMpQ,spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ,https://api.spotify.com/v1/tracks/4e3ZNTAV6PCrdYMUrUlMpQ,https://api.spotify.com/v1/audio-analysis/4e3ZNTAV6PCrdYMUrUlMpQ,266467,4
